company,website,segment,target_persona,offer_angle,priority,status,next_action
UNIBAGS,https://www.unibags.eu/,packaging personnalise,CEO / Head of Operations,"Optimiser cout complet (usine+qualite+delais) sur packaging e-commerce",haute,to_contact,Identifier email decisionnaire et envoyer email J0
Multi Pack,https://www.multipack.fr/,emballage sur mesure,Directeur Achats / COO,"Securiser sourcing usines + reduire non-conformites avant expedition",haute,to_contact,Identifier contact achats et envoyer email J0
Packhelp FR,http://packhelp.fr/,packaging e-commerce,Head of Supply Chain,"Ameliorer fiabilite fournisseurs et vitesse execution Chine",moyenne,to_contact,Qualifier organisation achats puis outreach
Packiro,https://packiro.com/fr-fr,emballages imprimes,Operations Manager,"Structurer audit usine + QC pour limiter litiges qualite",moyenne,to_contact,Prioriser contact operations et preparer pitch
CP International,https://www.cp-international.com/,grossiste maison/deco,Directeur General / Directeur Achats,"Programme sourcing multi-categories avec controle qualite terrain",haute,to_contact,Cibler direction achats et proposer audit 20 min
VERSA Home FR,https://www.versa-home.fr/,deco maison B2B,Head of Buying,"Baisser couts d'achat sans perte qualite via execution locale Chine",moyenne,to_contact,Trouver contact buying sur site/LinkedIn
Clayre & Eef,https://clayre-eef.com/fr/168-woondeco,accessoires maison,COO / Purchasing Manager,"Sourcing premium et pilotage delais pour collections saisonnieres",moyenne,to_contact,Verifier entite FR pertinente puis outreach
LumiSCOP,https://lumiscop.fr/,eclairage LED pro,Responsable Achats / Technique,"Sourcing LED conforme + stabilite qualite + controle pre-shipment",haute,to_contact,Preparer angle technique certifs + qualite
CDLED-PRO,https://cdled-pro.com/,fabricant/distributeur LED,Direction Industrielle,"Audit fournisseurs composants LED + reduction risques qualite",moyenne,to_contact,Identifier pain points supply chain et contacter
Nic Impex,https://www.nicimpex.com/entreprise/,sport/outdoor import,Directeur Operations / Achats,"Fiabiliser sourcing Asie sur produits techniques et saisonniers",haute,to_contact,Rechercher contact decisionnaire et envoyer J0
